date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-01-12,176.18,177.36,175.65,177.09,25418080,1.796,1.03%,175.6934,4491318562.04,151956
2018-01-11,174.59,175.4886,174.49,175.28,18667729,0.982,0.57%,173.8977,3269399469.27,117867
2018-01-10,173.16,174.30,173.00,174.29,23959895,-0.04,-0.02%,172.9155,4160056224.81,151204
2018-01-09,174.55,175.06,173.41,174.33,21583997,-0.02,-0.01%,172.9552,3762175718.05,154010
2018-01-08,174.35,175.61,173.93,174.35,20567766,-0.645,-0.37%,172.975,3591714031.95,138847
2018-01-05,173.44,175.37,173.05,175.00,23660018,1.954,1.14%,173.6199,4132742640.44,152177
2018-01-04,172.54,173.47,172.08,173.03,22434597,0.794,0.46%,171.6654,3880544122.65,153152
2018-01-03,172.53,174.55,171.96,172.23,29517899,-0.03,-0.02%,170.8717,5109963456.63,188339
2018-01-02,170.16,172.30,169.26,172.26,25555934,3.006,1.79%,170.9015,4378032466.43,177088
2017-12-29,170.52,170.59,169.22,169.23,25999922,-1.835,-1.08%,167.8954,4413444249.63,144384
2017-12-28,171.00,171.85,170.48,171.08,16480187,0.476,0.28%,169.7308,2820704590.58,108710
2017-12-27,170.10,170.78,169.71,170.60,21498213,0.03,0.02%,169.2546,3659977826.48,134253
2017-12-26,170.80,171.47,169.679,170.57,33185536,-4.405,-2.54%,169.2248,5655956253.13,222441
2017-12-22,174.68,175.424,174.50,175.01,16349444,0.00,0.00%,173.6298,2861571916.09,97114
2017-12-21,174.17,176.02,174.10,175.01,20949896,0.655,0.38%,173.6298,3671282715.18,117957
2017-12-20,174.87,175.42,173.25,174.35,23475649,-0.189,-0.11%,172.975,4090309822.77,142781
2017-12-19,175.03,175.39,174.09,174.54,27436447,-1.865,-1.07%,173.1635,4790566838.19,166256
2017-12-18,174.88,177.20,174.86,176.42,29421114,2.431,1.41%,175.0287,5189354429.39,163234
2017-12-15,173.63,174.17,172.46,173.97,40169307,1.736,1.02%,172.598,6970335092.12,155582
2017-12-14,172.40,173.13,171.65,172.22,20476541,-0.05,-0.03%,170.8618,3527657387.06,138965
2017-12-13,172.50,173.54,172.00,172.27,23818447,0.566,0.33%,170.9114,4114945239.59,137312
2017-12-12,172.15,172.39,171.461,171.70,19409230,-0.962,-0.56%,170.3459,3336393746.85,129481
2017-12-11,169.20,172.89,168.79,172.67,35273759,3.274,1.95%,171.3083,6056778709.05,177590
2017-12-08,170.49,171.00,168.82,169.37,23355231,0.05,0.03%,168.0343,3964955185.05,130139
2017-12-07,169.03,170.44,168.91,169.32,25673308,0.308,0.18%,167.9847,4354963980.57,161097
2017-12-06,167.50,170.2047,166.46,169.01,28560000,-0.625,-0.37%,167.6771,4824935225.04,179986
2017-12-05,169.06,171.52,168.40,169.64,27350154,-0.159,-0.09%,168.3022,4655118247.19,172743
2017-12-04,172.48,172.62,169.63,169.80,32542385,-1.24,-0.73%,168.4609,5564177106.65,208566
2017-12-01,169.95,171.67,168.50,171.05,39759288,-0.794,-0.47%,169.701,6775743230.62,230319
2017-11-30,170.43,172.14,168.44,171.85,41527218,2.351,1.40%,170.4947,7104288046.45,194001
2017-11-29,172.63,172.92,167.16,169.48,41666364,-3.562,-2.07%,168.1434,7058345602.81,285317
2017-11-28,174.30,174.87,171.86,173.07,26428802,-1.012,-0.59%,171.7051,4577506511.02,140184
2017-11-27,175.05,175.08,173.34,174.09,20716802,-0.873,-0.50%,172.7171,3609811035.22,118217
2017-11-24,175.10,175.50,174.6459,174.97,14026673,0.01,0.01%,173.5901,2455973461.88,64847
2017-11-22,173.36,175.00,173.05,174.96,25588925,1.806,1.05%,173.5802,4458891650.36,130437
2017-11-21,170.78,173.70,170.78,173.14,25131295,3.135,1.86%,171.7745,4345402810.32,137407
2017-11-20,170.29,170.56,169.56,169.98,16262447,-0.169,-0.10%,168.6395,2764430305.38,95572
2017-11-17,171.04,171.39,169.64,170.15,21899544,-0.943,-0.56%,168.8081,3731049137.98,130140
2017-11-16,171.18,171.87,170.30,171.10,23637484,2.004,1.19%,169.7506,4045965118.75,133303
2017-11-15,169.97,170.3197,168.38,169.08,29158070,-2.242,-1.32%,167.7466,4937184546.08,175239
2017-11-14,173.04,173.48,171.18,171.34,24782487,-2.609,-1.51%,169.9887,4268916046.40,154293
2017-11-13,173.50,174.50,173.40,173.97,16982080,-0.694,-0.40%,172.598,2955012749.94,113779
2017-11-10,175.11,175.38,174.27,174.67,25145500,-0.575,-0.33%,173.2925,4396497155.23,114343
2017-11-09,175.11,176.095,173.14,175.88,29185668,-0.356,-0.20%,173.8679,5108714808.67,166814
2017-11-08,174.66,176.24,174.33,176.24,24409527,1.414,0.82%,174.2238,4282320738.65,135164
2017-11-07,173.91,175.25,173.60,174.81,24361485,0.554,0.32%,172.8101,4253689538.70,145915
2017-11-06,172.365,174.99,171.72,174.25,35026306,1.73,1.01%,172.2566,6093705789.51,194182
2017-11-03,174.00,174.26,171.12,172.50,59398631,4.34,2.61%,170.5266,10251544267.00,336013
2017-11-02,167.64,168.50,165.28,168.11,41393373,1.206,0.73%,166.1868,6926187075.27,249912
2017-11-01,169.87,169.94,165.61,166.89,33637762,-2.125,-1.27%,164.9808,5622796296.64,209941
2017-10-31,167.90,169.6499,166.94,169.04,36046828,2.293,1.39%,167.1062,6076775093.32,199384
2017-10-30,163.89,168.07,163.72,166.72,44700772,3.628,2.25%,164.8127,7439362902.94,267201
2017-10-27,159.29,163.60,158.70,163.05,44454160,5.575,3.58%,161.1847,7188222068.59,269617
2017-10-26,157.23,157.8295,156.78,157.41,17000469,0.989,0.64%,155.6092,2676618628.15,101044
2017-10-25,156.91,157.55,155.27,156.41,21207098,-0.682,-0.44%,154.6206,3315979591.91,130542
2017-10-24,156.29,157.42,156.20,157.10,17757230,0.919,0.60%,155.3028,2786724142.30,109317
2017-10-23,156.89,157.69,155.50,156.17,21984327,-0.079,-0.05%,154.3834,3442040768.69,128360
2017-10-20,156.61,157.75,155.96,156.25,23974146,0.267,0.17%,154.4625,3760913970.30,133530
2017-10-19,156.75,157.08,155.02,155.98,42584166,-3.737,-2.37%,154.1956,6633831387.85,243468
2017-10-18,160.42,160.71,159.60,159.76,16374164,-0.702,-0.44%,157.9323,2621274811.08,99901
2017-10-17,159.78,160.87,159.23,160.47,18997275,0.583,0.37%,158.6342,3040281014.15,112847
2017-10-16,157.90,160.00,157.65,159.88,24121452,2.857,1.84%,158.0509,3841993378.58,147314
2017-10-13,156.73,157.28,156.41,156.99,16394188,0.979,0.63%,155.194,2572396120.32,102173
2017-10-12,156.35,157.37,155.7299,156.00,16125054,-0.544,-0.35%,154.2153,2524804195.13,110707
2017-10-11,155.97,156.98,155.75,156.55,16905640,0.643,0.42%,154.759,2646084922.82,104337
2017-10-10,156.055,158.00,155.10,155.90,15617014,0.059,0.04%,154.1165,2433551956.45,103893
2017-10-09,155.81,156.73,155.485,155.84,16262923,0.534,0.35%,154.0572,2536896032.68,101898
2017-10-06,154.97,155.49,154.56,155.30,17407558,-0.089,-0.06%,153.5233,2698738523.79,98628
2017-10-05,154.18,155.44,154.05,155.39,21283769,1.888,1.24%,153.6123,3299936281.84,133116
2017-10-04,153.63,153.86,152.46,153.48,20163750,-0.989,-0.65%,151.7242,3091720047.06,134381
2017-10-03,154.01,155.09,153.91,154.48,16230293,0.662,0.44%,152.7127,2508209533.19,105128
2017-10-02,154.26,154.45,152.72,153.81,18698842,-0.306,-0.20%,152.0504,2871776886.72,131394
2017-09-29,153.21,154.13,152.00,154.12,26299810,0.83,0.55%,152.3568,4035136532.51,152681
2017-09-28,153.89,154.28,152.70,153.28,22005455,-0.939,-0.62%,151.5265,3371171670.13,146454
2017-09-27,153.80,154.7189,153.54,154.23,25504227,1.078,0.71%,152.4656,3933530370.94,157873
2017-09-26,151.78,153.92,151.69,153.14,36660045,2.56,1.72%,151.3881,5602801858.83,222994
2017-09-25,149.99,151.83,149.16,150.55,44387336,-1.325,-0.88%,148.8277,6676081665.43,276754
2017-09-22,152.02,152.27,150.56,151.89,46645443,-1.483,-0.98%,150.1524,7062039187.00,288350
2017-09-21,155.80,155.80,152.75,153.39,37511661,-2.649,-1.72%,151.6352,5769654023.89,235915
2017-09-20,157.90,158.26,153.83,156.07,52951364,-2.63,-1.68%,154.2845,8242780085.69,311284
2017-09-19,159.51,159.77,158.44,158.73,20810632,0.059,0.04%,156.9141,3308774656.02,128003
2017-09-18,160.11,160.50,157.995,158.67,28269435,-1.196,-0.76%,156.8548,4500584627.27,161816
2017-09-15,158.47,160.97,158.00,159.88,49114602,1.582,1.01%,158.0509,7839696346.25,200741
2017-09-14,158.99,159.40,158.09,158.28,23760749,-1.354,-0.86%,156.4693,3771416259.87,144783
2017-09-13,159.87,159.96,157.91,159.65,44907361,-1.196,-0.75%,157.8236,7138611116.92,280399
2017-09-12,162.61,163.96,158.77,160.86,71714046,-0.633,-0.40%,159.0197,11577207072.41,460447
2017-09-11,160.50,162.05,159.89,161.50,31580798,2.837,1.81%,159.6524,5094548013.68,200570
2017-09-08,160.86,161.15,158.53,158.63,28611535,-2.60,-1.63%,156.8152,4564538375.07,167832
2017-09-07,162.09,162.24,160.36,161.26,21928502,-0.643,-0.40%,159.4152,3539237351.37,151309
2017-09-06,162.71,162.99,160.52,161.91,21651726,-0.168,-0.10%,160.0577,3502180797.43,139112
2017-09-05,163.75,164.25,160.56,162.08,29536314,-1.947,-1.20%,160.2258,4795882043.65,202244
2017-09-01,164.80,164.94,163.63,164.05,16591051,0.049,0.03%,162.1732,2722942884.15,114949
2017-08-31,163.64,164.52,163.48,164.00,26785096,0.643,0.40%,162.1238,4392055929.80,153320
2017-08-30,163.80,163.89,162.61,163.35,27269584,0.435,0.27%,161.4813,4450822059.70,159713
2017-08-29,160.10,163.12,160.00,162.91,29516910,1.424,0.89%,161.0463,4787621313.69,174463
2017-08-28,160.14,162.00,159.93,161.47,25965972,1.592,1.01%,159.6228,4187087247.68,136234
2017-08-25,159.65,160.56,159.27,159.86,25480063,0.583,0.37%,158.0312,4075143505.52,127154
2017-08-24,160.43,160.74,158.55,159.27,19818918,-0.702,-0.44%,157.4479,3159522434.12,139812
2017-08-23,159.07,160.47,158.88,159.98,19399081,0.198,0.13%,158.1498,3101148049.14,116338
2017-08-22,158.23,160.00,158.02,159.78,21604585,2.541,1.63%,157.9521,3446390124.07,131572
2017-08-21,157.50,157.89,155.1101,157.21,26368528,-0.287,-0.18%,155.4115,4129875402.14,160303
2017-08-18,157.86,159.50,156.72,157.50,27428069,-0.356,-0.23%,155.6982,4338550368.53,172441
2017-08-17,160.52,160.71,157.84,157.86,27940565,-3.055,-1.92%,156.0541,4439981370.62,184574
2017-08-16,161.94,162.51,160.15,160.95,27671612,-0.643,-0.40%,159.1087,4465909949.29,171496
2017-08-15,160.66,162.195,160.14,161.60,29465487,1.73,1.09%,159.7513,4755945112.37,162168
2017-08-14,159.32,160.21,158.75,159.85,22122734,2.343,1.50%,158.0213,3529762094.89,134860
2017-08-11,156.60,158.5728,156.07,157.48,26257096,2.135,1.39%,155.6784,4135648140.78,174119
2017-08-10,159.90,160.00,154.63,155.32,40804273,-5.051,-3.19%,153.5431,6420180425.60,257034
2017-08-09,159.26,161.27,159.11,161.06,26131530,0.965,0.61%,158.5946,4193306262.64,165502
2017-08-08,158.60,161.83,158.27,160.08,36205896,1.251,0.80%,157.6296,5811722959.99,219344
2017-08-07,157.06,158.92,156.6701,158.81,21870321,2.383,1.55%,156.379,3455108500.93,129565
2017-08-04,156.07,157.40,155.69,156.39,20559852,0.807,0.53%,153.9961,3216307154.87,130145
2017-08-03,157.05,157.21,155.02,155.57,27097296,-1.546,-1.00%,153.1886,4224783642.15,166577
2017-08-02,159.28,159.75,156.16,157.14,69936800,-1.428,-0.91%,154.7346,11037392975.64,398107
2017-08-01,157.06,158.92,156.6701,158.59,21194042,9.709,6.63%,156.1624,3348268856.37,128991
2017-07-31,149.90,150.33,148.13,148.73,19845920,-0.758,-0.52%,146.4533,2955169498.37,132516
2017-07-28,149.89,150.23,149.19,149.50,17213653,-1.044,-0.70%,147.2115,2576862922.30,119585
2017-07-27,153.75,153.99,147.30,150.56,32476337,-2.856,-1.89%,148.2553,4903166096.33,218587
2017-07-26,153.35,153.93,153.06,153.46,15780951,0.709,0.47%,151.1109,2422399602.58,93659
2017-07-25,151.80,153.84,151.80,152.74,18853932,0.64,0.43%,150.4019,2887239090.77,124159
2017-07-24,150.58,152.44,149.90,152.09,21493160,1.792,1.21%,149.7619,3257705343.81,126525
2017-07-21,149.99,150.44,148.88,150.27,26252630,-0.069,-0.05%,147.9698,3935829153.09,122871
2017-07-20,151.50,151.74,150.19,150.34,17243748,-0.67,-0.45%,148.0387,2599449228.85,106632
2017-07-19,150.48,151.42,149.95,151.02,20922969,0.926,0.63%,148.7083,3155754482.87,121901
2017-07-18,149.20,150.13,148.67,150.08,17868792,0.512,0.35%,147.7827,2670226953.00,117810
2017-07-17,148.82,150.90,148.57,149.56,23793456,0.512,0.35%,147.2706,3566040982.09,142958
2017-07-14,147.97,149.33,147.33,149.04,20132061,1.251,0.86%,146.7586,2987981408.43,126771
2017-07-13,145.50,148.49,145.44,147.77,25199373,1.999,1.39%,145.508,3716245807.16,159847
2017-07-12,145.87,146.18,144.82,145.74,24884478,0.207,0.14%,143.5091,3619581527.09,148209
2017-07-11,144.73,145.85,144.38,145.53,19781836,0.463,0.32%,143.3023,2872405908.29,122331
2017-07-10,144.11,145.95,143.37,145.06,21090636,0.867,0.61%,142.8395,3056073924.60,130965
2017-07-07,142.90,144.75,142.90,144.18,19201712,1.428,1.02%,141.973,2766286382.54,119570
2017-07-06,143.02,143.50,142.41,142.73,24128782,-1.339,-0.94%,140.5452,3446422802.12,160143
2017-07-05,143.69,144.79,142.7237,144.09,21569557,0.581,0.41%,141.8844,3104727211.27,129492
2017-07-03,144.88,145.3001,143.10,143.50,14277848,-0.512,-0.36%,141.3034,2055772385.83,98823
2017-06-30,144.45,144.96,143.78,144.02,23024107,0.335,0.24%,141.8154,3323966129.25,131792
2017-06-29,144.71,145.13,142.28,143.68,31499368,-2.117,-1.47%,141.4806,4523666605.13,218929
2017-06-28,144.49,146.11,143.1601,145.83,22082432,2.068,1.46%,143.5977,3202495050.78,148164
2017-06-27,145.01,146.16,143.62,143.73,24761891,-2.058,-1.43%,141.5299,3585716866.22,163291
2017-06-26,147.17,148.28,145.38,145.82,25692361,-0.453,-0.31%,143.5879,3763722675.61,161368
2017-06-23,145.13,147.16,145.11,146.28,35439389,0.64,0.45%,144.0408,5185670225.64,129656
2017-06-22,145.77,146.70,145.1199,145.63,19106294,-0.236,-0.16%,143.4008,2784823972.59,119253
2017-06-21,145.52,146.0693,144.61,145.87,21265751,0.847,0.59%,143.6371,3094973444.23,128184
2017-06-20,146.87,146.87,144.94,145.01,24900073,-1.31,-0.91%,142.7903,3621752096.46,163502
2017-06-19,143.66,146.74,143.66,146.34,32541404,4.008,2.86%,144.0999,4742779922.96,194323
2017-06-16,143.78,144.50,142.20,142.27,50361093,-1.989,-1.40%,140.0922,7203584971.13,196677
2017-06-15,143.32,144.4798,142.21,144.29,32165373,-0.857,-0.60%,142.0813,4616061235.22,215382
2017-06-14,147.50,147.50,143.84,145.16,31531232,-1.408,-0.98%,142.938,4584096336.17,217291
2017-06-13,147.16,147.45,145.15,146.59,34165445,1.152,0.80%,144.3461,5000337855.21,209037
2017-06-12,145.74,146.09,142.51,145.42,72307330,-3.506,-2.39%,143.194,10432086456.02,455659
2017-06-09,155.19,155.19,146.02,148.98,64882657,-5.918,-3.88%,146.6995,9743835480.83,416036
2017-06-08,155.25,155.54,154.40,154.99,21250798,-0.374,-0.24%,152.6175,3291403667.25,132007
2017-06-07,155.02,155.98,154.48,155.37,21069647,0.906,0.60%,152.9917,3273008499.72,129499
2017-06-06,153.90,155.81,153.78,154.45,26624926,0.512,0.34%,152.0858,4117860204.77,151824
2017-06-05,154.34,154.45,153.46,153.93,25331662,-1.497,-0.98%,151.5737,3898256382.03,157954
2017-06-02,153.58,155.45,152.89,155.45,27770715,2.235,1.48%,153.0705,4294004956.41,167744
2017-06-01,153.17,153.33,152.22,153.18,16404088,0.414,0.27%,150.8352,2507922474.96,112148
